id,name,rating,review_count,positive_rate,dwell_time,lon,lat,is_start
0,Beijing Start,0,0,0,0,116.3972,39.9163,1
1,Forbidden City,4.6,2312,0.920,4,116.3972,39.9163,0
2,Tiananmen Square,4.4,6522,0.880,1.5,116.3975,39.9087,0
3,Temple of Heaven,4.6,3336,0.920,2.5,116.4108,39.8819,0
4,Summer Palace,4.6,9395,0.920,3,116.2755,39.9996,0
5,Beihai Park,4.5,1661,0.900,2,116.3890,39.9241,0
6,Jingshan Park,4.6,1134,0.920,1.5,116.3970,39.9250,0
7,Yonghe Temple,4.6,1299,0.920,1.5,116.4174,39.9470,0
8,National Museum of China,4.4,565,0.880,2.5,116.4010,39.9050,0
9,National Stadium Bird Nest,4.2,1622,0.840,1.5,116.3966,39.9929,0
10,Water Cube,4.1,748,0.820,1,116.3907,39.9920,0
11,Olympic Forest Park,4.5,449,0.900,2,116.3920,40.0157,0
12,Yuanmingyuan Park,4.4,600,0.880,2.5,116.3054,40.0080,0
13,Badaling Great Wall,4.2,11109,0.840,3,116.0167,40.3560,0
14,Mutianyu Great Wall,4.7,24456,0.940,3,116.5704,40.4319,0
15,Ming Tombs,4.0,1000,0.800,2.5,116.2273,40.2550,0
16,Shichahai,4.3,870,0.860,1.5,116.3840,39.9400,0
17,Nanluoguxiang,4.0,1568,0.800,1.5,116.4030,39.9370,0
18,798 Art District,4.3,2387,0.860,2,116.5017,39.9896,0
19,Fragrant Hills Park,4.2,397,0.840,3,116.1933,39.9963,0
20,Beijing Zoo,4.1,2560,0.820,2.5,116.3390,39.9383,0
